Probeset	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	Geneset_Tcell	Geneset_ELVIDGE_HIF1A_TARGETS_DN	Geneset_ccRCC	Geneset_Fuhrman	Geneset_Ascierto	Geneset_IMmotion150	Geneset_Merck18	Geneset_RIG1	Geneset_CM009	Geneset_Adenosine	Geneset_HALLMARK
501_at	501	LOC501	ALDH7A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
64577_at	64577	LOC64577	ALDH8A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
223_at	223	LOC223	ALDH9A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
226_at	226	LOC226	ALDOA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
229_at	229	LOC229	ALDOB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
230_at	230	LOC230	ALDOC	NA	NA	91_DN	ccrcc3.dn	Up	NA	NA	NA	NA	NA	NA	NA NA
56052_at	56052	LOC56052	ALG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
144245_at	144245	LOC144245	ALG10B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79087_at	79087	LOC79087	ALG12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
79868_at	79868	LOC79868	ALG13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
199857_at	199857	LOC199857	ALG14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
200810_at	200810	LOC200810	ALG1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
644974_at	644974	LOC644974	ALG1L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
85365_at	85365	LOC85365	ALG2	Multiple	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
10195_at	10195	LOC10195	ALG3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
29880_at	29880	LOC29880	ALG5	B Cell	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA NA
